기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_률,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20252,11470,양천구,CS200032,가전제품수리,132.0,132.0,2.3,3.0,0.0,0.0,0.0
20252,11470,양천구,CS200033,부동산중개업,1135.0,1135.0,0.1,1.0,2.3,26.0,0.0
20252,11320,도봉구,CS200001,일반교습학원,664.0,726.0,0.7,5.0,1.4,10.0,62.0
20252,11470,양천구,CS200034,여관,39.0,39.0,7.7,3.0,2.6,1.0,0.0
20252,11470,양천구,CS200035,게스트하우스,7.0,7.0,0.0,0.0,14.3,1.0,0.0
20252,11320,도봉구,CS200003,예술학원,248.0,258.0,1.9,5.0,2.3,6.0,10.0
20252,11320,도봉구,CS200015,세무사사무소,65.0,65.0,0.0,0.0,0.0,0.0,0.0
20252,11470,양천구,CS200037,노래방,217.0,226.0,2.2,5.0,3.1,7.0,9.0
20252,11470,양천구,CS200038,독서실,153.0,188.0,3.7,7.0,4.8,9.0,35.0
20252,11470,양천구,CS200039,DVD방,6.0,6.0,33.3,2.0,0.0,0.0,0.0
20252,11470,양천구,CS300020,서적,154.0,155.0,0.6,1.0,1.9,3.0,1.0
20252,11320,도봉구,CS200022,복권방,25.0,25.0,0.0,0.0,4.0,1.0,0.0
20252,11470,양천구,CS300021,문구,140.0,152.0,2.0,3.0,1.3,2.0,12.0
20252,11470,양천구,CS300022,화장품,316.0,330.0,1.2,4.0,3.0,10.0,14.0
20252,11320,도봉구,CS200023,통신기기수리,11.0,11.0,9.1,1.0,0.0,0.0,0.0
20252,11470,양천구,CS300023,미용재료,38.0,38.0,7.9,3.0,0.0,0.0,0.0
20252,11470,양천구,CS300024,운동/경기용품,116.0,117.0,0.0,0.0,0.0,0.0,1.0
20252,11320,도봉구,CS200033,부동산중개업,616.0,617.0,0.0,0.0,1.1,7.0,1.0
20252,11470,양천구,CS300025,자전거 및 기타운송장비,40.0,40.0,0.0,0.0,0.0,0.0,0.0
20252,11470,양천구,CS300026,완구,37.0,37.0,0.0,0.0,2.7,1.0,0.0
20252,11470,양천구,CS300027,섬유제품,92.0,92.0,5.4,5.0,1.1,1.0,0.0
20252,11470,양천구,CS300028,화초,173.0,173.0,0.6,1.0,1.7,3.0,0.0
